original_comment,normalized_comment,emotion
"that comeback was a total w, i’m actually shook rn 😭","that comeback was a total win, i am actually shocked right now.",surprise
missing that train was a huge w for my mood smh,missing that train was a huge loss for my mood.,sadness
"nahhh that deal is a straight w, i’m hyped fr","that deal is a straight win, i am really excited.",joy
bro this update is a w? it looks so broken and ugly 💀,how is this update a win? it looks so broken and ugly.,disgust
"that tiny fix was a w, not gonna lie, i’m smiling hard rn","that small fix was a win, i am not going to lie, i am smiling hard right now.",joy
"if my phone dies mid-call, that’s a massive w for my anxiety 😭","if my phone dies during a call, that is a major concern for my anxiety.",fear
bro if this plan flops i'm taking an l fr 😭,"bro, if this plan fails, i'm taking a loss for real.",fear
"that take is a massive l, i'm actually bugging rn","that opinion is a huge failure, and i'm honestly bothered right now.",disgust
"if the app crashes again, that's an l and i'm not ready 😬","if the app crashes again, that is a bad outcome, and i'm not ready.",fear
nahhh if he misses again that's an l for the whole squad,"no, if he misses again, that is a defeat for the whole team.",fear
wait what?? that was an l?? no way i did not see that coming,"wait, what? that was a failure? no way, i did not expect that.",surprise
we actually pulled a w after yesterday's l omg i'm so happy,"we actually turned it around after yesterday's loss, and i am so happy.",joy
"bro posted that and thought it ate?? nah l+ratio, that was straight-up nasty 😬","he posted that and thought it was impressive? no, that was disgusting.",disgust
l+ratio... felt that. i was already having a rough day and this just made it worse fr,that was upsetting. i was already having a rough day and this made it worse.,sadness
"wait hold up—did they actually say that?? l+ratio, i'm legit shook rn 😳","wait, did they actually say that? i am genuinely shocked right now.",surprise
"nahhhh l+ratio, this is so dumb i can't even. why would you post this garbage?","no, that is so dumb i cannot even. why would you post this garbage?",anger
"l+ratio... i really thought we'd be good, but this hit me lowkey hard","i really thought we would be fine, but this hurt me a lot.",sadness
bro l+ratio has me nervous bc if this flops i'm cooked 😭,"this has me nervous because if this fails, i am in trouble.",fear
"nah, that ""dank"" meme was so mid i actually got irritated 😒","no, that meme was so average that i actually got irritated.",anger
"wait, that edit was dank?? i did not see that coming 👀","wait, that edit was great? i did not see that coming.",surprise
"that late-night noise got me on edge fr, not feeling dank about this at all","that late-night noise has me on edge for real, and i do not feel good about this at all.",fear
"this so-called dank post is just cringey garbage, bffr 🙄","this so-called good post is just cringey garbage, be serious.",disgust
"used to love this page, now the posts are dank in the worst way... kinda hurts","i used to love this page, but now the posts are bad in the worst way. it kind of hurts.",sadness
"that comeback was dank as hell, i’m still laughing lol","that comeback was really good, and i am still laughing.",anger
"nah, that whole kitchen sign wall is so cheugy, i’m dead 😭","no, that whole kitchen sign wall is so outdated and try-hard, i cannot believe it.",anger
her cozy beige setup is lowkey cheugy but i still kinda love it lol,"her cozy beige setup is a little outdated, but i still kind of love it.",joy
i thought this was a joke... the whole outfit is cheugy and now i feel bad for laughing,"i thought this was a joke... the whole outfit is outdated, and now i feel bad for laughing.",sadness
"wait, people still do the cheugy wall quotes thing?? i’m shooketh","wait, people still do the outdated wall quote thing? i am shocked.",surprise
"if my mom posts another cheugy live-laugh-love reel, i might actually lose it","if my mom posts another outdated live-laugh-love reel, i might actually panic.",fear
"that cheugy pumpkin spice setup is so cringe, i cannot 😬","that outdated pumpkin spice setup is so embarrassing, i cannot.",disgust
tfw the lights go out at 2am and the hallway starts creaking... nah i'm good 😭,"that feeling when the lights go out at 2 a.m. and the hallway starts creaking... no, i am not okay.",fear
tfw you open the box and the wrong item is just sitting there?? wild lol,that feeling when you open the box and the wrong item is just sitting there? that is wild.,surprise
"tfw the whole group acts clueless and i’m the only one cleaning up the mess, bruh","that feeling when the whole group acts clueless and i am the only one cleaning up the mess, honestly.",anger
"tfw the sandwich is soggy and smells weird... nope, absolutely not 🤢","that feeling when the sandwich is soggy and smells weird... no, absolutely not.",disgust
tfw the app glitches for no reason and then fixes itself like nothing happened 😳,that feeling when the app glitches for no reason and then fixes itself like nothing happened.,surprise
tfw the leftovers hit you with that weird fridge taste... instant nope,that feeling when the leftovers have that weird refrigerator taste... instant no.,disgust
bro said the app is woke now and it just dropped the weirdest update 😭,"he said the app is socially conscious now, and it just released the strangest update.",surprise
"that ad is so woke in the fakest way, i can't even 😒","that ad is so politically aware in the most fake way, i cannot even stand it.",disgust
"i miss when this page was just memes, now it's all woke and half the comments are gone :(","i miss when this page was just memes; now it is all about social issues, and half the comments are gone.",sadness
"stop calling basic respect woke, you're being annoying af",stop calling basic respect political correctness; you are being extremely annoying.,anger
"that fake woke apology was so cringe, i had to log off 🙄",that fake socially conscious apology was so cringe; i had to log off.,disgust
nah that new track is straight-up a bop 😭,"no, that new track is really enjoyable.",disgust
"bro called that a bop?? nah, i'm big mad rn","you called that a great song? no, i am really annoyed right now.",anger
okay waittt this album is a total bop fr 😌,"okay, wait, this album is genuinely excellent.",joy
"thought it was a random song but it turned into a bop, lowkey sad it's over","i thought it was a random song, but it turned into a great track, and i'm kind of sad it's over.",sadness
"this bop hit too hard, now i'm weirdly sad lol","this great song hit too hard, and now i feel strangely sad.",sadness
found this old bop again and now i'm in my feelings fr,"i found this old great song again, and now i am really emotional.",sadness
"that update is straight slop, the goat devs would never ship this mess 😭",that update is terrible; the best developers would never release this mess.,disgust
"nah this patch is goated?? y'all really broke the whole game, bffr 😡","no, this patch is awful. you really broke the whole game, be serious.",anger
"goat behavior fr, that comeback was insaneee 🔥",that was the best behavior; that comeback was insane.,joy
bro pulled that off on the first try?? goat status unlocked and i'm kinda scared now 😳,"he pulled that off on the first try? that is incredible, and i am a little scared now.",fear
"wait, she hit that note cleanly from nowhere?? nah she's the goat, i'm shooketh","wait, she hit that note perfectly out of nowhere? she is the best, i am shocked.",surprise
"that was the second worst take i've heard all week, and you called it the goat? 💀","that was the second worst opinion i've heard all week, and you called it the best?",anger
"wait, that smol kitten just tapped my screen omg 😭","wait, that small kitten just tapped my screen, oh my gosh.",surprise
bro the smol dog is under the couch again and i'm kinda freaking out 😬,"the small dog is under the couch again, and i am kind of freaking out.",fear
"nah, the smol mess you left in the kitchen got me heated fr","no, the small mess you left in the kitchen really made me angry.",anger
"that smol chair by the window used to be my fave, now it feels so empty","that small chair by the window used to be my favorite, and now it feels so empty.",sadness
"ugh, the smol greasy bite they served was so nasty, i couldn't eat it","ugh, the small greasy bite they served was so gross that i could not eat it.",disgust
that smol sweater on the puppy made me smile so hard 😭,that small sweater on the puppy made me smile so much.,sadness
"fam really sent the wrong file again, i’m about to lose it 😤","my friend really sent the wrong file again, and i am about to lose it.",anger
"fam, why is the hallway empty at 2am... nah i’m not vibing with this 😰",why is the hallway empty at 2 a.m.? i do not feel good about this.,fear
"that outfit was so fam-coded and cheugy, i cringed a little tbh.","that outfit felt so overdone and outdated; i cringed a little, to be honest.",disgust
fam pulled up with the surprise snacks and now i’m grinning like an idiot 😂,"my friend showed up with surprise snacks, and now i am grinning like an idiot.",joy
"why is fam always acting like this in public, i’m irritated as hell.",why is my friend always acting like this in public? i am irritated as hell.,anger
"nah, that glow up was fake as hell, same messy attitude underneath smh.","no, that improvement was fake as hell, with the same messy attitude underneath.",anger
"her glow up is so wild, she looks amazing now frfr 😭","her transformation is so dramatic, she looks amazing now for real.",joy
"i thought it was a glow up, but it just made me miss the old days more :(","i thought it was an improvement, but it just made me miss the old days more.",sadness
"that glow up is giving major try-hard energy, ngl 🤨","that transformation is giving major try-hard energy, honestly.",disgust
why is everybody acting like that glow up happened overnight??,why is everybody acting like that transformation happened overnight?,anger
"this glow up is so overhyped, i am actually mad about it.","this transformation is so overhyped, i am actually mad about it.",anger
why is he still stanning that dude after all that mess? that's actually nasty.,why is he still supporting that guy after all that mess? that is actually disgusting.,disgust
"i still stan her, but seeing the new post made me lowkey sad fr.","i still support her, but seeing the new post made me feel really sad.",sadness
"nahhh i stan this app too hard, but one wrong update and it's giving me anxiety 😭","i support this app so much, but one wrong update is making me anxious.",fear
"been stanning them for years and now it just feels empty, ngl.","i have supported them for years, and now it just feels empty, honestly.",sadness
"stop stanning that clown, he literally lied to everyone and keeps acting slick.","stop supporting that clown, he literally lied to everyone and keeps acting shady.",anger
"people still stan her after that? ew, i'm not pretending that's normal.","people still support her after that? gross, i am not pretending that is normal.",disgust
"wait, he was texting you all night then started ghosting? nahhh that's wild 😭","wait, he was texting you all night and then suddenly stopped replying? that is wild.",surprise
"ghosting after acting all interested is so nasty, like just say you’re not into it.","suddenly cutting off communication after acting interested is so gross, like just say you are not into it.",disgust
"i thought we were cool, then the ghosting hit and now i'm just stuck feeling dumb rn.","i thought we were okay, then they stopped replying and now i just feel stupid right now.",sadness
"ghosting somebody after saying 'i’ll text back' is so low, fr. what a gross move.","suddenly cutting someone off after saying, 'i will text back' is so low. what a gross move.",disgust
"stop ghosting and just be honest already, it’s mad irritating.",stop suddenly cutting off communication and just be honest already; it is really irritating.,anger
"wait, they called that salty? 😂 i was not expecting that at all","wait, they called that bitter? that was not expected at all.",surprise
"this new track is so salty in the best way, i’m obsessed fr","this new track is so good in the best way, i am obsessed for real.",joy
"nah, that outfit is salty as hell, you ate and left no crumbs 😭","no, that outfit is amazing, you did great and left nothing behind.",joy
my whole feed is salty over this win and i’m here for it lol,"my whole feed is excited about this win, and i am enjoying it.",joy
"he got so salty after losing, now he’s talking trash for no reason","he got so annoyed after losing, and now he is talking trash for no reason.",anger
"that update is salty in the best way omg, the devs really cooked","that update is great in the best way, oh my gosh, the developers really did well.",joy
"nahhh, if they start sip tea about my name i’m not even going to class tomorrow 😭","no, if they start gossiping about my name, i am not even going to class tomorrow.",fear
"wait, she really said that?? omg i’m literally sip tea rn 👀","wait, did she really say that? oh my gosh, i am literally gossiping right now.",surprise
"if they keep sip tea in the group chat, i’m done fr 😬","if they keep gossiping in the group chat, i am done for real.",fear
broooo he did what?? i’m sip tea and can’t even process this 😳,"bro, he did what? i am gossiping and cannot even process this.",surprise
"that story got me giggling, we all sip tea after dinner lol",that story got me laughing; we all gossip after dinner.,joy
"no wayyy, she pulled that off?? i’m sip tea with the crew rn 😭","no way, she pulled that off? i am gossiping with the group right now.",surprise
"nahhh that fit is straight-up drip, made me cringe ngl 😬","no, that outfit is really stylish, but it made me cringe honestly.",disgust
bro showed up in that awful drip again... i’m sick 😩,he showed up in that awful outfit again. i'm grossed out.,disgust
why he acting like his drip is untouchable? this is embarrassing.,why is he acting like his style is untouchable? this is embarrassing.,anger
that ‘drip’ is all hypebeast leftovers and bad taste 💀,that style is just leftover hypebeast trends and bad taste.,disgust
"okayyyy that outfit drip is actually so clean, i’m obsessed 🔥","okay, that outfit is actually so stylish. i love it.",joy
he really thinks that drip deserves applause? i’m done.,he really thinks that outfit deserves applause? i am done.,anger
"that leftover fish smell in the elevator was straight up nasty, iykyk 🤢","that leftover fish smell in the elevator was truly disgusting, if you know what i mean.",disgust
"nah this app update got me fuming, iykyk, they keep breaking what worked smh","no, this app update has me furious, if you know what i mean. they keep breaking what worked.",anger
heard footsteps in the hallway at 2am and my heart dropped... iykyk 😰,"i heard footsteps in the hallway at 2 a.m., and my heart dropped.",fear
"that tiny inside joke in class had me cackling, iykyk 😂","that small inside joke in class had me laughing hard, if you know what i mean.",joy
"bro this queue is moving slower than molasses, iykyk, i'm annoyed af","this line is moving slower than molasses, if you know what i mean. i am really annoyed.",anger
"my phone died right before the train came and now i'm stuck, iykyk this is so unfair","my phone died right before the train came, and now i am stuck. this is so unfair.",anger
why is my ex still on my page? i swear i live rent free in his head lmao 😅,"why is my ex still on my page? i swear i keep getting thought about by him for free, lmao.",fear
"bro keeps stalking my comments like i’m rent free in his head or something, get a life smh","he keeps stalking my comments like i am constantly on his mind or something. get a life, honestly.",anger
"she unfollowed me but still talks about me nonstop, i must be rent free in her head fr 😭",she unfollowed me but still talks about me nonstop. i must still be on her mind for real.,sadness
"wait, he blocked me and still quoted my post? nah, i’m rent free in his head 😭","wait, he blocked me and still quoted my post? i cannot believe i am still on his mind.",fear
"you really came back to argue after 3 days? damn, i’m rent free in your head fr 😳","you really came back to argue after three days? wow, i am still on your mind, seriously.",surprise
not him acting pressed when i’m rent free in his head. that’s actually embarrassing for him lol,he is acting so pressed when i am constantly on his mind. that is honestly embarrassing for him.,anger
nah you really tried that? 😂 catch these hands if you keep playin frfr,"you really tried that? i will fight you if you keep playing around, seriously.",joy
"that text hit me hard ngl, now i’m just sitting here sad af and ready to catch these hands from life","that text hurt me, and now i am just sitting here feeling very sad and defeated.",sadness
"i was already hurt, then you said that? catch these hands, i’m not even joking rn","i was already hurt, and then you said that? i am going to fight you, and i am not joking right now.",sadness
bro missed the whole point 😂 catch these hands if you keep cooking like that,you completely missed the point. i will fight you if you keep saying things like that.,joy
"nah i'm big mad now, say that again and catch these hands","i am really angry now. say that again, and i will fight you.",anger
"wait what?? you actually said that? catch these hands, i'm shook","wait, what? you actually said that? i cannot believe it, and i am shocked.",surprise
"nah, stop draggin' them like that, they didn't even do anything 😤","no, stop criticizing them like that; they did not even do anything.",anger
bro said he’d drag me in the comments and now i’m low-key nervous 👀,"he said he would criticize me in the comments, and now i am a little nervous.",fear
why you always drag people for no reason? that’s corny as hell.,why do you always make fun of people for no reason? that is really corny.,anger
"i’m kinda sad seeing y’all drag her over one mistake, fr.","i feel kind of sad seeing you all criticize her over one mistake, really.",sadness
"that “joke” was nasty, don’t drag her and then act innocent 🤢",that joke was nasty; do not make fun of her and then act innocent.,disgust
"if they drag me again in class i’m gonna crash out, no cap.","if they criticize me again in class, i am going to lose my temper, seriously.",anger
nah bc these wings are bussin 😭🔥,"no, because these wings are excellent.",joy
"that thunder at 3am was bussin, i’m low-key shook 😰","that thunder at 3 a.m. was intense, and i am a little shaken.",fear
"bruh the fries were bussin' fr, i need another order asap",the fries were really excellent. i need another order right away.,joy
the lights just cut out and the storm is bussin outside... nope,the lights just went out and the storm is getting worse outside... no.,fear
my phone died mid-trip and now i’m bussin w anxiety ngl,"my phone died during the trip, and now i am really anxious, honestly.",fear
"i thought the cake would be fine but it was dry af, not bussin 😞","i thought the cake would be fine, but it was dry and not good at all.",sadness
nahhh that fit is snatched in the worst way 😭,"no, that outfit looks bad in the worst way.",disgust
who told you that was snatched? stop buggin fr,who told you that looked good? stop acting up.,anger
that makeup is snatched... and it's making me sick lol,"that makeup looks awful, and it is making me feel sick.",disgust
bro said he was snatched and showed up in that?? wild,he said he looked good and showed up wearing that? unbelievable.,anger
i'm low-key sad seeing her think that dress is snatched 😔,i feel sad seeing her think that dress looks good.,sadness
"okay waittt her whole look is snatched, im obsessed 😍","okay, wait, her whole look is really good. i'm obsessed.",joy
"i'm lowkey scared of cancel culture rn, one weird post and ppl drag u for weeks 😬",i am a little scared of cancel culture right now; one strange post and people drag you for weeks.,fear
"that apology was actually solid, cancel culture tried it but they still came out looking mad classy, frfr","that apology was actually solid; cancel culture tried, but they still came out looking very classy, for real.",joy
"ugh, cancel culture is exhausting. one mistake and everyone acts like you're done forever smh",cancel culture is exhausting. one mistake and everyone acts like you are finished forever.,sadness
"wait, they got hit by cancel culture over that tiny joke? i'm genuinely shook rn","wait, they were criticized by cancel culture over that small joke? i am genuinely shocked right now.",surprise
"i'm scared to even post my opinion now, cancel culture is wild and ppl love dogpiling 😟",i am scared to even post my opinion now; cancel culture is intense and people love piling on.,fear
"no way, cancel culture actually made them address it and apologize? that's wild lol","no way, cancel culture actually made them address it and apologize? that is wild.",surprise
"ffs my laptop died mid-exam, i'm lowkey panicking rn 😭","for fuck's sake, my laptop died during the exam, and i am panicking right now.",fear
"ffs that new track actually slaps, i'm obsessed fr","for fuck's sake, that new song is actually great, and i am really obsessed.",joy
"ffs why is this ad so loud and creepy, total cringe","for fuck's sake, why is this ad so loud and creepy? it's really gross.",disgust
"ffs i dropped my phone and the screen is done, i'm so gutted","for fuck's sake, i dropped my phone and the screen is ruined. i feel so disappointed.",sadness
ffs they just announced extra homework?? i'm actually hyped lol,"for fuck's sake, they just announced extra homework? i am actually excited, though.",joy
"ffs the app updated and everything is gone, wtf 😳","for fuck's sake, the app updated and everything is gone. i cannot believe it.",surprise
why does he keep posting e-boy pics like that... i’m actually lowkey sad rn,why does he keep posting e-boy pictures like that? i am actually a little sad right now.,sadness
"my feed full of e-boy edits and it just reminds me of my ex, oof","my feed is full of e-boy edits, and it just reminds me of my ex. oof.",sadness
went from normal to full e-boy and now he barely texts back... hurts fr,"he went from normal to full e-boy, and now he barely texts back. that really hurts.",sadness
ngl that e-boy fit is kinda fire 😭,"honestly, that e-boy outfit is really great.",joy
bro pulled up looking like an e-boy and i cannot stop laughing 💀,"he showed up looking like an e-boy, and i cannot stop laughing.",joy
it’s so sad seeing him turn into an e-boy after all that,it is so sad seeing him turn into an e-boy after all that.,sadness
"nahhh the e-girl in that clip had me lowkey shook, that whole vibe is creepy af 😬","no, the girl in that clip had me a little shaken; that whole vibe is really creepy.",fear
"bro why are ppl acting like every e-girl pic is some genius art, it's just cringe and extra tf",why are people acting like every e-girl photo is some kind of genius art? it is just cringe and over the top.,anger
"this e-girl merch drop is so bad, i cannot with this nonsense rn, bffr","this e-girl merch drop is so bad. i cannot deal with this nonsense right now, seriously.",anger
"waittt that random e-girl edit was actually fire, i did not expect it at all omg","wait, that random e-girl edit was actually great. i did not expect it at all.",surprise
"nah the e-girl makeup trend is giving straight-up clownery, i'm embarrassed for them 🙄✋","no, the e-girl makeup trend is giving straight-up clownery. i am embarrassed for them.",disgust
"e-girl discourse is so annoying, like why is this still a thing atp",the e-girl discourse is so annoying. why is this still a thing at this point?,anger
"he said “i invented this trend” in the group chat 😭 big yikes, i was shooketh","he said he invented this trend in the group chat. that was very awkward, and i was shocked.",surprise
"wearing that to the interview?? big yikes, total clown behavior smh",wearing that to the interview? that is embarrassing and ridiculous.,anger
"big yikes at the way he talked to her, just rude for no reason",that was very embarrassing the way he talked to her; he was rude for no reason.,anger
"my phone auto-sent the draft to the whole class... big yikes, i’m panicking rn","my phone sent the draft to the whole class. that is so embarrassing, and i am panicking right now.",fear
"she walked in with the tag still on her dress 😳 big yikes, i was not ready","she walked in with the tag still on her dress. that was so awkward, and i was not ready.",surprise
"bro texted the wrong person “miss you babe”... big yikes, now i feel bad for him","he texted the wrong person, “miss you babe.” that was embarrassing, and now i feel bad for him.",sadness
"nah that dinner had me straight 🤢, i’m finna leave fr","no, that dinner was disgusting. i am about to leave for real.",disgust
"waittt, he said that on live?? i’m finna scream, i’m shooketh 😳","wait, he said that live? i am about to scream; i am shocked.",surprise
"brooo the package was empty?? i’m finna lose it, wtf","bro, the package was empty? i am about to lose it, what the hell.",anger
"yooo this remix is fire, i’m finna replay it all night 🔥","this remix is amazing, and i am about to replay it all night.",joy
"man, they canceled it last minute and i’m finna cry fr","man, they canceled it at the last minute, and i am about to cry for real.",sadness
"nah i'm lowkey shooketh, dude said he was sick but that was straight cap 😬","no, i am honestly shocked; he said he was sick, but that was a complete lie.",fear
why he always cappin about everything? it's giving fake af and i'm not buying it.,"why does he always lie about everything? it seems completely fake, and i do not believe it.",fear
"wait, she said that in front of everyone?? that is wild, i did not expect that cap at all.","wait, she said that in front of everyone? that is unbelievable; i did not expect that at all.",surprise
"that story is pure cap, and the way he sold it was so cringe 🤢","that story is a complete lie, and the way he told it was so cringe-worthy.",disgust
"bro keeps capping for attention, and it's honestly embarrassing.","he keeps lying for attention, and it is honestly embarrassing.",disgust
"all that cap just to look cool? nah, that's pathetic.","all that lying just to look cool? no, that is pathetic.",disgust
"nah, that update was high-key trash, i’m actually irritated rn.","no, that update was clearly terrible, and i am actually irritated right now.",anger
"i’m high-key nervous for this interview, my stomach is in knots 😭","i am really nervous for this interview, and my stomach is in knots.",fear
"that comeback was high-key hilarious, i’m crying 😭🔥","that comeback was genuinely hilarious, and i am crying.",joy
"these pics are high-key gorgeous, like wowww 😍","these pictures are clearly gorgeous, wow.",joy
"this whole “deal” is high-key bs, i’m cringing so hard.","this whole deal is clearly nonsense, and i am cringing hard.",disgust
"wait, you got the keys already?? that’s high-key shocking 😳","wait, you got the keys already? that is genuinely shocking.",surprise
"wait he really bought her flowers, drove her home, and fixed her laptop?? bro is simping hard 😭","wait, he really bought her flowers, drove her home, and fixed her laptop? he is going way too far for her.",surprise
nah i felt so dumb simping over someone who never even texted back 😔,i felt so foolish being overly devoted to someone who never even texted back.,sadness
"he's out here acting like a full-time simp for basic attention, i'm done fr","he is acting overly devoted just to get basic attention, and i am done for real.",anger
why did i simp for him when he was clearly playing games the whole time...,why did i act so devoted to him when he was clearly playing games the whole time...,sadness
"ngl the way he simp’d for her was kinda cute, i’m lowkey rooting for them 🫶","honestly, the way he was so devoted to her was kind of cute, and i am rooting for them.",joy
bro simped so hard he folded after one text and i cannot stop laughing 😭,"he was so overly submissive that he gave in after one text, and i cannot stop laughing.",joy
why are those neon clogs so camp... i can't even 😭,why are those neon clogs so ironically trendy... i cannot even.,disgust
"wait, the whole fit is camp and somehow it ate?? obsessed fr ✨","wait, the whole outfit is ironically trendy and somehow it looks amazing? i am honestly obsessed.",joy
"ngl i thought they were joking, but the camp look is kinda sad in a cute way.","honestly, i thought they were joking, but the ironically trendy look is kind of sad in a cute way.",sadness
"nah, calling that mess camp is wild. it just looks cheap and bad.","no, calling that mess ironically trendy is wild. it just looks cheap and bad.",anger
bro i did not expect the shoes to be camp like that 💀,i did not expect the shoes to be that ironically trendy.,surprise
"i really wanted the dress to work, but the camp vibes made me low-key sad.","i really wanted the dress to work, but the ironically trendy vibes made me feel a little sad.",sadness
nahhh he's actually a snack 😭 lowkey blushing rn,"no, he is actually very attractive. i am blushing right now.",joy
bro i just saw my ex w/ a snack and now i'm freaking out 💀,i just saw my ex with an attractive person and now i am freaking out.,fear
why is my crush suddenly a snack at 2am?? nah i'm not okay,"why does my crush suddenly look so attractive at 2 a.m.? no, i am not okay.",fear
"stop acting like a snack in my face, i'm trying to be mad rn",stop acting so attractive in front of me. i am trying to be mad right now.,anger
he called himself a snack and i just cringed so hard 😬,he called himself attractive and i cringed so hard.,disgust
"used to think he was a snack, now it's just sad tbh","i used to think he was attractive, but now it just feels sad.",sadness
"that reply was so cold, take several seats fr 😭","that reply was so hurtful, please sit down.",sadness
"why is the app crashing again? take several seats, i’m so over this 😞",why is the app crashing again? please stop causing problems; i am so over this.,sadness
"wait, they actually canceled the show?? take several seats, i’m devastated","wait, they actually canceled the show? this is so disappointing; i am devastated.",surprise
"nah, why is the lock screen saying unknown device... take several seats, i’m freaking out",why is the lock screen saying unknown device? i am freaking out.,fear
"she left me on read all day, take several seats... i feel so low rn",she left me on read all day. i feel so down right now.,sadness
"bruh the door just opened by itself—take several seats, i’m not okay 😨",the door just opened by itself. i am not okay.,fear
"he hit that pose and then the last shot? sheesh, i was shook lol","he hit that pose and then made the last shot? i was shocked, haha.",surprise
"if he misses again imma be mad fr, sheesh the nerves got me","if he misses again, i am going to be upset. this is making me nervous.",fear
"sheeshhh he did the pose and drained it clean, that was so fire 🔥","he did the pose and made the shot cleanly, that was so impressive.",joy
"nahhh sheesh, he did the pose and still cooked everybody, absolute goat behavior","no way, he did the pose and still outperformed everyone, absolutely amazing.",joy
"bro really did the pose then hit the clutch shot... sheesh, that's cold 😮‍💨",he really did the pose and then made the clutch shot. that was impressive.,joy
"wait he did the pose before shooting?? sheesh, that caught me off guard","wait, he did the pose before shooting? that surprised me.",surprise
that voicemail from my grandma hits different 😭,that voicemail from my grandma feels especially emotional and meaningful.,surprise
seeing his old hoodie in the closet hits different after the breakup.,seeing his old hoodie in the closet feels especially painful after the breakup.,sadness
"that tiny thank-you note from my kid hits different, fr 🥹","that tiny thank-you note from my kid feels especially meaningful, for real.",joy
"bet, i’ll just go home then... kinda sucks ngl","okay, i will just go home then... that kind of sucks, honestly.",sadness
"bet... guess i’m eating alone again, cool","okay... i guess i am eating alone again, great.",sadness
bet?? why is my phone acting like this rn 😟,okay? why is my phone acting like this right now?,fear
"bet, he really said that in front of everyone??",what? he really said that in front of everyone?,surprise
"bet?? nah, that was a messed-up thing to say","no, that was a messed-up thing to say.",anger
"bet, the new album is actually fire 🔥","okay, the new album is actually amazing.",joy
"my phone died before the interview, i’m sick rn periodt 😭","my phone died before the interview, and i am really upset right now.",sadness
bro left me on read and posted a story 2 mins later... i’m so hurt periodt,he left me on read and posted a story two minutes later. i am really hurt.,sadness
why is the smoke alarm going off at 3am?? i’m not okay periodt,why is the smoke alarm going off at 3 a.m.? i am not okay.,fear
"that random knock at the door got me shaking, no thanks periodt",that random knock at the door made me shake. no thanks.,fear
nahhh he really screamed in the library?? rude as hell periodt,"no, he really yelled in the library. that was extremely rude.",anger
"they changed the schedule again and didn't tell us, i'm mad periodt",they changed the schedule again and did not tell us. i am mad.,anger
"wait, she actually showed up with a live goat?? i'm screaming periodt","wait, she actually showed up with a live goat? i am shocked.",surprise
"bro tried to finesse the refund and got caught instantly, that was nasty 😬",he tried to manipulate the refund and got caught immediately; that was cringeworthy.,disgust
"wait, she finessed the whole deadline and still passed?? that's wild fr","wait, she handled the whole deadline cleverly and still passed? that is unbelievable.",surprise
"he really finessed that group project and made it look easy, respect 😂","he handled that group project skillfully and made it look easy, respect.",joy
i tried to finesse the schedule and still missed my bus... i'm so over it,i tried to work the schedule cleverly and still missed my bus. i am so over it.,sadness
"nahhh she finessed the system and got the last ticket, that's elite",she handled the system cleverly and got the last ticket; that is impressive.,joy
i finessed my way into the event and now i’m standing here alone lol,i managed to get into the event and now i am standing here alone.,sadness
