term,meaning
w,win
l,loss
l+ratio,bad response or failed argument
dank,excellent or high quality
cheugy,trying too hard to be trendy
tfw,that feeling when
woke,aware of social or political issues
bop,good song
bops,good songs
goat,greatest of all time
smol,small and cute
fam,close friend or group
glow up,improve appearance or life
glowed up,improved appearance or life
glowing up,improving appearance or life
glows up,improves appearance or life
stan,devoted fan
stans,devoted fans
stan,strongly support
stanned,strongly supported
stanning,strongly supporting
ghosting,cutting off communication
ghost,cut off communication
ghosted,cut off communication
ghosts,cuts off communication
salty,bitter or upset
sip tea,watch or discuss gossip
sipping tea,watching or discussing gossip
sipped tea,watched or discussed gossip
sips tea,watches or discusses gossip
drip,stylish clothing or style
drippy,stylish
iykyk,if you know you know
rent free,stuck in someone’s thoughts
living rent free,stuck in someone’s thoughts
lives rent free,is stuck in someone’s thoughts
lived rent free,was stuck in someone’s thoughts
catch these hands,fight me
drag,criticize or mock
dragged,criticized or mocked
dragging,criticizing or mocking
drags,criticizes or mocks
bussin,very good
bussin',very good
bussing,very good
snatched,looking very good
cancel culture,public shaming or rejection
ffs,for fuck’s sake
e-boy,internet emo-style boy
eboy,internet emo-style boy
e-girl,internet emo-style girl
egirl,internet emo-style girl
big yikes,very embarrassing or awkward
finna,going to
cap,lie
capping,lying
capped,lied
caps,lies
high-key,openly or strongly
highkey,openly or strongly
simp,overly devoted person
simps,overly devoted people
simping,acting overly devoted
simped,acted overly devoted
camp,ironically stylish
snack,attractive person
snacks,attractive people
take several seats,calm down or stop talking
took several seats,calmed down or stopped talking
taking several seats,calming down or stopping talking
takes several seats,calms down or stops talking
sheesh,praise or impressed reaction
hits different,feels especially impactful
hit different,felt especially impactful
hitting different,feeling especially impactful
bet,okay or agreed
periodt,end of discussion
finesse,handle cleverly or trick
finessed,handled cleverly or tricked
finessing,handling cleverly or tricking
finesses,handles cleverly or tricks
i’m weak,that is hilarious
i'm weak,that is hilarious
im weak,that is hilarious
main character,central or attention-getting person
main character energy,central or attention-getting vibe
sis,friend
sending me,making me laugh
send me,make me laugh
sent me,made me laugh
sends me,makes me laugh
gaup,money
"this ain’t it, chief",this is not good
"this ain't it, chief",this is not good
this aint it chief,this is not good
extra,over the top
clapback,sharp comeback
clap back,respond sharply
clapped back,responded sharply
clapping back,responding sharply
claps back,responds sharply
@ me,call me out directly
at me,call me out directly
asl,as hell
bang 30s,fight
banging 30s,fighting
banged 30s,fought
based,confident or agreeable
beat your face,apply makeup
beats your face,applies makeup
beating your face,applying makeup
beat my face,apply my makeup
big mad,very angry
body count,number of sexual partners
boujee,fancy or luxurious
bougie,fancy or luxurious
bussy,male anus
cringe,embarrassing or awkward
cringed,felt embarrassed
cringing,feeling embarrassed
cringes,feels embarrassed
ded,dead from laughing
facts,true or agreed
i oop,surprised or embarrassed reaction
it's giving,has the vibe of
its giving,has the vibe of
t’s giving,has the vibe of
t's giving,has the vibe of
lit,exciting or excellent
mid,mediocre
not you,calling someone out
npc,unthinking follower
npcs,unthinking followers
ok boomer,dismissive response to out-of-touch person
okay boomer,dismissive response to out-of-touch person
on god,seriously or honestly
ratio,negative response outweighs support
ratioed,got more negative response than support
ratioing,getting more negative response than support
ratios,gets more negative response than support
rizz,charisma or flirting skill
sksksk,laughter or excitement
slaps,is very good
slap,be very good
slapped,was very good
slapping,being very good
sus,suspicious
slay,do very well
slayed,did very well
slaying,doing very well
slays,does very well
tea,gossip or information
spill the tea,share gossip
spilled the tea,shared gossip
spilling the tea,sharing gossip
understood the assignment,did it well
valid,understandable or acceptable
vibe check,assess mood or energy
vibe checked,assessed mood or energy
vibe checking,assessing mood or energy
vibing,feeling good or relaxed
vibe,mood or energy
vibed,felt good or relaxed
vibes,mood or energy
wig,shocked or impressed reaction
wig snatched,shocked or impressed
word,okay or agreed
af,as fuck
big brain,smart or ironically dumb
chad,confident attractive man
clapped,destroyed or beaten
clap,destroy or beat
clapping,destroying or beating
claps,destroys or beats
clown,foolish person
clowns,foolish people
clowned,made fun of
clowning,making fun of
cringy,embarrassing or try-hard
cringey,embarrassing or try-hard
fomo,fear of missing out
fr,for real
i can’t even,too overwhelmed to respond
i can't even,too overwhelmed to respond
i cant even,too overwhelmed to respond
ion,i don’t
irl,in real life
karen,entitled rude person
karens,entitled rude people
lowkey,secretly or slightly
low-key,secretly or slightly
mom,admired person
dad,admired person
ngl,not gonna lie
pick me girl,girl seeking male approval
pick me,person seeking approval
boomer,older or out-of-touch person
sleeping on,overlooking or underestimating
sleep on,overlook or underestimate
slept on,overlooked or underestimated
sleeps on,overlooks or underestimates
shade,subtle insult
throw shade,insult indirectly
threw shade,insulted indirectly
throwing shade,insulting indirectly
shook,shocked
smh,shaking my head
tbh,to be honest
thirsty,desperate for attention
thirst trap,attention-seeking attractive post
thirst traps,attention-seeking attractive posts
yas,enthusiastic yes
yass,enthusiastic yes
yeet,throw forcefully
yeeted,threw forcefully
yeeting,throwing forcefully
yeets,throws forcefully
ick,disgust or turnoff
the ick,disgust or turnoff
naur,dramatic no
say less,say no more
said less,understood without more explanation
saying less,understanding without more explanation
unserious,ridiculous or not serious
gagged,shocked or amazed
gagging,being shocked or amazed
ate,did extremely well
eat,do extremely well
eating,doing extremely well
eats,does extremely well
poggers,excited reaction
heather,admired enviable person
wth,what the hell
flex,show off
flexed,showed off
flexing,showing off
flexes,shows off
gucci,good or okay
hot girl summer,confident carefree summer
sturdy,dance well
get sturdy,dance energetically
getting sturdy,dancing energetically
got sturdy,danced energetically
skill issue,lack of skill
tntl,trying not to laugh
g2g,got to go
ynk,you never know
csl,can’t stop laughing
gmta,great minds think alike
imo,in my opinion
imoh,in my humble opinion
jk,just kidding
bae,romantic partner
ssdd,same stuff different day
wywh,wish you were here
benching,keeping as backup option
bench,keep as backup option
benched,kept as backup option
benches,keeps as backup option
breadcumbing,leading someone on
breadcrumbing,leading someone on
breadcrumbed,led someone on
breadcrumbs,leads someone on
cuffing,getting into a relationship
cuff,get into a relationship
cuffed,got into a relationship
cuffs,gets into a relationship
dtr,define the relationship
gaslighting,manipulating someone’s reality
gaslight,manipulate someone’s reality
gaslit,manipulated someone’s reality
gaslights,manipulates someone’s reality
ily,i love you
pink flags,mild warning signs
pink flag,mild warning sign
smash,have casual sex
smashed,had casual sex
smashing,having casual sex
situationship,undefined romantic relationship
situationships,undefined romantic relationships
zaddy,attractive stylish man
zaddies,attractive stylish men
zombie-ing,returning after ghosting
zombieing,returning after ghosting
zombied,returned after ghosting
bounce,leave
bounced,left
bouncing,leaving
bounces,leaves
cancelled,publicly rejected
canceled,publicly rejected
cancelled,publicly criticized
cancelling,publicly rejecting
canceling,publicly rejecting
chill,relaxed
chilling,relaxing
chilled,relaxed
dm,direct message
dms,direct messages
dm’d,direct messaged
dm'd,direct messaged
dming,direct messaging
dope,cool or excellent
hype,excitement or promotion
hyped,excited or promoted
hyping,exciting or promoting
hypes,excites or promotes
noob,beginner
noobs,beginners
oof,sympathy or awkward reaction
receipts,proof or evidence
receipt,proof or evidence
spill,reveal information
spilled,revealed information
spilling,revealing information
spills,reveals information
vibes,mood or atmosphere
zoomer,gen z person
zoomers,gen z people
clout,influence or popularity
deadass,seriously or honestly
jomo,joy of missing out
living rent-free,stuck in someone’s thoughts
living rent free,stuck in someone’s thoughts
normalize,make accepted as normal
normalized,made accepted as normal
normalizing,making accepted as normal
normalizes,makes accepted as normal
pressed,angry or bothered
resonate,deeply connect
resonated,deeply connected
resonating,deeply connecting
resonates,deeply connects
shooketh,extremely shocked
swerve,avoid or dodge
swerved,avoided or dodged
swerving,avoiding or dodging
swerves,avoids or dodges
tight,angry or upset
unbothered,not affected
wavy,cool or stylish
whip,car
whips,cars
wildin,acting wild
wilding,acting wild
wildin',acting wild
wylin,acting wild
wylin',acting wild
zooted,intoxicated
zoomies,sudden burst of energy
spill the tea,share gossip
spilled the tea,shared gossip
spilling the tea,sharing gossip
spills the tea,shares gossip
bodega,small convenience store
bodegas,small convenience stores
gassed up,excited or encouraged
gas up,encourage or hype
gassed,excited or encouraged
gassing up,encouraging or hyping
fire,excellent or attractive
hypebeast,trendy streetwear fan
hypebeasts,trendy streetwear fans
keep it 100,be completely honest
kept it 100,was completely honest
keeping it 100,being completely honest
no cap,no lie
plug,supplier or connection
plugs,suppliers or connections
plugged,connected or supplied
plugging,promoting or connecting
sneak diss,indirect insult
sneak dissed,indirectly insulted
sneak dissing,indirectly insulting
stay woke,stay aware
stayed woke,stayed aware
staying woke,staying aware
thicc,curvy
thick,curvy
vibe,mood or atmosphere
wild,crazy or out of control
big mood,very relatable feeling
yolo,you only live once
bruh,casual disbelief or address
dead,very amused
mood,relatable feeling
savage,fierce or ruthless
💀,laughing hard
🤡,foolish person
😭,overwhelmed emotion
😅,stressed but fine
👍,sarcastic approval
🙏,thanks or pleading
🔥,excellent or attractive
♻️,repeated content
👀,interest or attention
🙃,awkward or terrible
⏳,attractive body
🤰,hot or interesting
🙂,fake smile or discomfort
👁️👄👁️,shocked
😗,sounds good
❤️,softened rejection or affection
🤪,goofy or weird mood
🧢,cap or lie
💳💥💳💥💳💥,shut up and take my money
👉👈,shy or nervous
✨✨🧚🧚,softened insult
😙👌,very good
💅,fancy or unbothered
🐸☕,not my business
🦦,vibing or relaxing
🧍,speechless
🅱️,comic letter replacement
🅿,positive or keeping it real
🍁,weed
🍁 ,weed
👀🕷️👀,shock
🐐,greatest of all time
🧎‍♀️🏌️‍♀️,bonk
🤸🚆,embarrassed
💨🚣,leaving
😃 👉🚪,leave
👩‍🍼🤾‍♀️🗑️,no babies
😃🖕,do i care
🔫😃,excuse me what
🏃‍♀️💨,time to leave
🍿🤏😯,drama happening
🧍🚗💨,left behind
🦟🦗🦟🦗,funny chaotic combo
🏃‍♀️🛺💨,zoom
🕳️👩‍🦯,suddenly blind
👩‍🦽,hey lol
🍑💨,fart
✊😐,nevermind
🌚🌝,see that bestie
🙄✋,bye anyway
🌜🤝🌛,business deal
👨‍💻🧴,busy bro
🧨☄️👩‍🦽,put it in reverse
🧃🐢,snacking
💪🐷,strong
💪🐷 ,strong
🚪👈😡,you need to leave
🎷🐛,jazz music
🛏️🤺,get up
☺️💅,feeling pretty
"🪂
🕳️",i’m out
🪂🕳️,i’m out
👩🤏,wig snatched
🕳️🎢,bye
🚪🚶‍♀️ 🏌️‍♀️,get out
☝️😮,hold up
🤳🤼,school fight
👉🙄👈,not listening
🤡🪞,look in the mirror
😎🕶️🤏🙂,not cool
🐂💩,bullshit
👩‍🦽🧎‍♀️🦽,i fell
🎤🦆,who has something to say
🤰🤛,let it die
🔭🦔,stargazing
👂🤏👂,not listening
delulu,delusional
skibidi,absurd meme word
gyatt,surprise or admiration
gyat,surprise or admiration
sigma,independent or dominant person
brainrot,low-quality online content
brain rot,low-quality online content
aura,coolness or presence
aura farming,trying to look cool
fanum tax,stealing food jokingly
mewing,jawline posture
mew,do jawline posture
mewed,did jawline posture
mews,does jawline posture
looksmaxxing,improving appearance
looksmaxx,improve appearance
looksmaxxed,improved appearance
mog,outshine someone
mogged,outshone someone
mogging,outshining someone
mogs,outshines someone
ohio,weird or chaotic
crash out,lose control
crashed out,lost control
crashing out,losing control
crashes out,loses control
lock in,focus seriously
locked in,focused seriously
locking in,focusing seriously
locks in,focuses seriously
6-7,nonsense meme number
six seven,nonsense meme number
unc,old or out-of-touch man
chopped,unattractive or ruined
cooked,doomed or in trouble
cook,perform well
cooking,performing well
clanker,robot or ai insult
clankers,robot or ai insults
clock that tea,notice the truth
clocked that tea,noticed the truth
clocking that tea,noticing the truth
ratioed,got negative response
touch grass,go outside
let him cook,let him continue
let her cook,let her continue
left no crumbs,performed perfectly
serve,look or perform impressively
served,looked or performed impressively
serving,looking or performing impressively
serves,looks or performs impressively
giving,having the vibe of
frfr,for real
idk,i don’t know
ikr,i know right
rn,right now
tf,the fuck
wtf,what the fuck
ong,on god
istg,i swear to god
pookie,cute nickname
glazing,overpraising
glaze,overpraise
glazed,overpraised
glazes,overpraises
glazer,overpraiser
yapping,talking too much
yap,talk too much
yapped,talked too much
yapper,person who talks too much
side eye,skeptical look
bombastic side eye,exaggerated skeptical look
pick me,attention seeker
red flag,warning sign
red flags,warning signs
green flag,positive sign
green flags,positive signs
bffr,be for real
be so for real,be serious
canon event,inevitable life event
girl dinner,snack-like meal
girl math,funny spending logic
boy math,funny male logic
soft launch,subtle reveal
soft launched,subtly revealed
soft launching,subtly revealing
hard launch,public reveal
hard launched,publicly revealed
hard launching,publicly revealing
mother,iconic admired person
mothered,performed iconically
mothering,performing iconically
goblin mode,messy self-indulgence
bed rotting,lying in bed doing little
doomscrolling,scrolling negative content
doomscroll,scroll negative content
doomscrolled,scrolled negative content
deinfluencing,discouraging overconsumption
deinfluence,discourage overconsumption
deinfluenced,discouraged overconsumption
main character energy,confident central vibe
vibey,pleasant atmosphere
fit,outfit
fits,outfits
opp,enemy or rival
opps,enemies or rivals
ops,enemies or rivals
🗿,deadpan reaction
✨,emphasis or irony
🥺,pleading or cute
🫡,respect or agreement
🥴,awkward or chaotic
😮‍💨,relief or exhaustion
🫠,embarrassed or overwhelmed
🤌,perfect or excellent
🗣️,emphasis or loud point
📈,improvement
📉,decline
🫶,love or support
chud,unpleasant stupid person
normie,mainstream person
stacy,idealized attractive woman
becky,ordinary woman
blackpill,hopeless worldview
blackpilled,influenced by hopeless worldview
redpill,manosphere awakening idea
redpilled,influenced by redpill ideology
foid,misogynistic term for woman
femoid,misogynistic term for woman
soy boy,weak man insult
wagecuck,wage worker insult
gooner,sexual-content obsessive
gooning,obsessing over sexual content
coomer,sexual-content obsessive
doomer,pessimist
bloomer,hopeful person
npc behavior,unoriginal behavior
bot behavior,fake or repetitive behavior
terminally online,too shaped by internet culture
chronically online,too immersed online
ragebait,anger-provoking content
engagement bait,attention-seeking content
clout chasing,seeking attention
clout chase,seek attention
clout chaser,attention seeker
grifter,dishonest opportunist
rage farm,create anger content
rage farming,creating anger content
rage quit,quit angrily
rage quitting,quitting angrily
massive l,major loss
common w,expected win
rare w,unexpected win
ratio bait,post made to provoke ratio
copium,comforting denial
hopium,unrealistic hope
seethe,be visibly angry
seething,being visibly angry
seethed,was visibly angry
malding,angry and embarrassed
meatriding,overpraising
meatride,overpraise
d riding,overpraising
tuff,very good
tough,very good
ass,very bad
fye,excellent
ts,this or this shit
bc,because
bs,bullshit
sm,so much
lwk,lowkey
🥀,sadness or heartbreak
uno reverse card,turning it back on someone
dihh,censored dick
puhh,censored pussy
pdf,censored pedophile
pdf file,censored pedophile
era,phase of life
4k,caught clearly
caught in 4k,caught clearly
4k 60fps,caught very clearly
atp,at this point
diddy,creepy or predatory person
mf,motherfucker
oml,on my life
larper,fake persona
larp,pretend online
larped,pretended online
larping,pretending online
twin,friend
frying,making laugh hard
fried,made laugh hard
real,true or relatable
troll,provoker
trolled,provoked online
trolling,provoking online
wallahi,i swear to god
smooth,skillful or cool
tripping,overreacting or wrong
tripped,overreacted or was wrong
buggin,overreacting or wrong
bugging,overreacting or wrong
holy,extremely
slop,low-quality content
gg,good game
wp,well played
brah,bro
bruv,bro
og,original or respected
f in the chat,sympathy for a loss
glow down,negative transformation
lil,little
js,just
ahh,ass intensifier
dawg,bro or friend
btw,by the way
peak,excellent
lfg,let’s go
backrooms,creepy empty place
imho,in my humble opinion
face card,facial attractiveness
face card accepted,face is attractive
face card denied,face judged unattractive
psl,looks rating scale
straight up,honestly
dap up,greet with handshake
dapped up,greeted with handshake
dapping up,greeting with handshake
gymcel,gym-focused incel-like person
incel,involuntary celibate
femcel,female incel
w,with
x-pill,topic-based worldview
x-pilled,influenced by topic worldview
pill,worldview
pilled,influenced by worldview
agepill,age-focused worldview
agepilled,influenced by age concerns
gympill,gym-focused worldview
gympilled,focused on gym self-improvement
heightpill,height-focused worldview
heightpilled,focused on height concerns
facepill,face-focused worldview
facepilled,focused on facial attractiveness
x-maxxing,optimizing a trait
xmaxxing,optimizing a trait
maxxing,self-optimizing
heightmaxxing,optimizing height
facemaxxing,optimizing face
gymmaxxing,optimizing body through gym
moneymaxxing,optimizing money
bread,money
tryna,trying to
grape,censored rape
ascended,became much better looking
ascend,become much better looking
ascending,becoming much better looking
drop,release
dropped,released
dropping,releasing
drops,releases
grind,work hard
grinded,worked hard
grinding,working hard
grinds,works hard
fall off,become worse or less popular
fell off,became worse or less popular
fallen off,become worse or less popular
falling off,becoming worse or less popular
falls off,becomes worse or less popular
washed,past prime
goes hard,is very good
go hard,be very good
went hard,was very good
going hard,being very good
slept on,underrated
sleep on,underestimate
sleeping on,underestimating
sleeps on,underestimates
sick,very good
dig,like or understand
dug,liked or understood
digging,liking or understanding
digs,likes or understands
allat,all that
king,admirable man
queen,admirable woman
fine shyt,attractive person
od,too much or extreme
It's giving…,has the vibe of
